iter	Logloss
0	0.5560439526
1	0.4435406966
2	0.3709995461
3	0.3224236956
4	0.2871796675
5	0.2528956724
6	0.2332971264
7	0.2161098631
8	0.204217259
9	0.1963429407
10	0.1907935994
11	0.181032457
12	0.1749729845
13	0.1690614446
14	0.1666170966
15	0.1626814985
16	0.1605574372
17	0.1589121812
18	0.1577479242
19	0.1568033389
20	0.1549013852
21	0.1537905764
22	0.1523956321
23	0.1518276182
24	0.1510405524
25	0.1501526867
26	0.1496819004
27	0.1490967911
28	0.1485742056
29	0.1480985044
30	0.1475566723
31	0.1471069977
32	0.1464107648
33	0.1459428937
34	0.1455219101
35	0.1447983502
36	0.1443521754
37	0.143840758
38	0.1434350024
39	0.1431435867
40	0.1427001443
41	0.1420736132
42	0.1419394252
43	0.141417184
44	0.1411761066
45	0.1409007
46	0.1405653751
47	0.1401317817
48	0.1398964
49	0.1396759448
50	0.1394086105
51	0.1392768927
52	0.1389595277
53	0.1387455688
54	0.13854247
55	0.1382386806
56	0.1379346771
57	0.1378025935
58	0.1375638223
59	0.137413078
60	0.1370415295
61	0.1367395018
62	0.1364261802
63	0.1361980289
64	0.1359851734
65	0.1359221183
66	0.1357156028
67	0.1353518702
68	0.1351439833
69	0.1348889952
70	0.1347044559
71	0.1344409882
72	0.1342082018
73	0.1338840696
74	0.1334961612
75	0.1332660586
76	0.1329178501
77	0.1325888863
78	0.1323396068
79	0.1320471074
80	0.1318248182
81	0.131464745
82	0.1311849739
83	0.1308748527
84	0.130479382
85	0.1302310896
86	0.1300225369
87	0.1297319567
88	0.1296216053
89	0.1292720114
90	0.1290179678
91	0.1286503161
92	0.1282672515
93	0.1279341761
94	0.1277035704
95	0.1273452998
96	0.1270857604
97	0.1268166441
98	0.1265332332
99	0.1262943313
100	0.1260111453
101	0.1257101883
102	0.1254207823
103	0.1252208068
104	0.1249882953
105	0.1247164343
106	0.1245836816
107	0.1244447606
108	0.1243720988
109	0.1240937305
110	0.1238732553
111	0.123756457
112	0.1235517945
113	0.1232998941
114	0.1230238509
115	0.1228184895
116	0.1226129874
117	0.1224128681
118	0.1221461122
119	0.1219608308
120	0.1217178778
121	0.1212428306
122	0.1209796236
123	0.1207669948
124	0.120544909
125	0.1203235165
126	0.1200990641
127	0.1199878892
128	0.119840847
129	0.119680804
130	0.1195449475
131	0.1193891055
132	0.1192091523
133	0.1190497224
134	0.1187263792
135	0.1182646135
136	0.1180966727
137	0.1179536103
138	0.1177303052
139	0.1176248314
140	0.1174600311
141	0.1172843242
142	0.1169112626
143	0.1168052988
144	0.1166985875
145	0.1165114227
146	0.1163894689
147	0.1162002639
148	0.1159765312
149	0.1157087811
150	0.1153962128
151	0.1151789861
152	0.1149863978
153	0.1148658875
154	0.1147109635
155	0.1145073402
156	0.1143193836
157	0.1140952856
158	0.1138637827
159	0.1137042134
160	0.1133611946
161	0.1131121205
162	0.1129151187
163	0.1127669254
164	0.1125462968
165	0.1124297571
166	0.1122693229
167	0.1121746691
168	0.1119947881
169	0.1117933167
170	0.1117503257
171	0.1116127492
172	0.1115667675
173	0.1114101665
174	0.1111401251
175	0.1110104673
176	0.1108389183
177	0.1107473387
178	0.1105220676
179	0.1102492954
180	0.1101544714
181	0.1100450842
182	0.1099076428
183	0.1097539881
184	0.1096229746
185	0.1094183027
186	0.1092583041
187	0.1090321184
188	0.1088575758
189	0.1086535724
190	0.1085358401
191	0.1084257511
192	0.1083339797
193	0.1081446257
194	0.1080149236
195	0.1078682347
196	0.1077376706
197	0.107525475
198	0.1073662261
199	0.1072043846
200	0.1071508657
201	0.10697686
202	0.106821715
203	0.1067485682
204	0.106632061
205	0.1064848717
206	0.1063270811
207	0.1062352805
208	0.106134858
209	0.1059062906
210	0.1058757489
211	0.1057843391
212	0.1056252537
213	0.1054070142
214	0.105280447
215	0.1051802839
216	0.1049851806
217	0.1049323914
218	0.1048613942
219	0.1046634033
220	0.1044701986
221	0.1043079282
222	0.1042012544
223	0.1041092764
224	0.1040216305
225	0.1039538762
226	0.1037937472
227	0.1036518594
228	0.1036239436
229	0.1035380465
230	0.103427662
231	0.1033498788
232	0.1032028368
233	0.1030751742
234	0.1029393451
235	0.1027910356
236	0.1027147673
237	0.1025991992
238	0.1024190853
239	0.1022737205
240	0.1022007809
241	0.1019939145
242	0.1019314158
243	0.1017799911
244	0.1016240565
245	0.101444593
246	0.1013786669
247	0.1012055856
248	0.1010811853
249	0.1009409672
250	0.1008094335
251	0.100784897
252	0.1006557948
253	0.10057265
254	0.1004835001
255	0.1004100716
256	0.1003015839
257	0.1001329903
258	0.09997384228
259	0.09974043886
260	0.099569247
261	0.09937145707
262	0.09924517585
263	0.09906665453
264	0.09900618686
265	0.09890103928
266	0.09881846938
267	0.09862692679
268	0.09855871153
269	0.09838803255
270	0.09823277472
271	0.09817569631
272	0.09800205669
273	0.09792863354
274	0.09781951666
275	0.09771726781
276	0.09767890464
277	0.09764301011
278	0.09756545504
279	0.09741357507
280	0.09722840334
281	0.09705275912
282	0.09695737963
283	0.096786228
284	0.09669788799
285	0.09660410225
286	0.09653009582
287	0.09633406872
288	0.09616539658
289	0.09603119837
290	0.09589397629
291	0.09575356492
292	0.09570639086
293	0.09562062912
294	0.09548785565
295	0.09537301736
296	0.09529535574
297	0.09519806472
298	0.09507197496
299	0.09494617766
