iter	Logloss
0	0.6652748847
1	0.6402540929
2	0.6175868016
3	0.5943834029
4	0.574072969
5	0.5532355923
6	0.5348636711
7	0.5162519199
8	0.4968740284
9	0.4752546958
10	0.459329569
11	0.4413757626
12	0.4278331499
13	0.4113122606
14	0.3966900712
15	0.3835628206
16	0.3720924832
17	0.35873399
18	0.3491546302
19	0.3401922993
20	0.3319975376
21	0.3237979788
22	0.3171272382
23	0.3077521235
24	0.3009653092
25	0.2953591627
26	0.289494352
27	0.2841852976
28	0.2781540098
29	0.2715719803
30	0.265621527
31	0.2593823869
32	0.2544781554
33	0.2506124899
34	0.2451487659
35	0.240325952
36	0.2368789413
37	0.2328155169
38	0.2289364407
39	0.2253158274
40	0.2226239577
41	0.219592498
42	0.2164241737
43	0.2131656434
44	0.2108338335
45	0.208383878
46	0.2052089251
47	0.2033731338
48	0.2014132309
49	0.1993306209
50	0.1973353648
51	0.1952146071
52	0.1936949896
53	0.1923911561
54	0.1911735614
55	0.189573318
56	0.1879882548
57	0.1859864005
58	0.1841546922
59	0.182842973
60	0.1812587539
61	0.1803421516
62	0.1791691728
63	0.1781023361
64	0.1773737958
65	0.1763219207
66	0.1756309562
67	0.1745366406
68	0.1732211384
69	0.1720579497
70	0.1714934071
71	0.170155567
72	0.1693099502
73	0.1683480644
74	0.1674095407
75	0.1666433892
76	0.1660933477
77	0.1649503421
78	0.1640189817
79	0.1632044346
80	0.1627157131
81	0.1618797036
82	0.1612931933
83	0.1604835415
84	0.1596936591
85	0.1590152841
86	0.1582263225
87	0.1575276414
88	0.156922598
89	0.1562996414
90	0.1557556191
91	0.1552015717
92	0.154635866
93	0.1541646972
94	0.1536856282
95	0.1532052328
96	0.1530584941
97	0.1526061009
98	0.152015507
99	0.1515840317
100	0.1512081865
101	0.1511220066
102	0.1505232531
103	0.1502061259
104	0.1497260111
105	0.1493239304
106	0.1490692396
107	0.1486721015
108	0.1482956532
109	0.1480546711
110	0.1477200182
111	0.1473629718
112	0.1469660446
113	0.146638031
114	0.1463635979
115	0.1461826262
116	0.1458986283
117	0.1456450277
118	0.1453773106
119	0.1451046618
120	0.1447640598
121	0.1445024193
122	0.1443073402
123	0.1441413538
124	0.1437709618
125	0.1435594592
126	0.1433167801
127	0.1431815141
128	0.1429857466
129	0.1427482607
130	0.1425412254
131	0.1423101258
132	0.1420369992
133	0.1417774697
134	0.1415908245
135	0.141238736
136	0.1409801593
137	0.1407346014
138	0.1404728308
139	0.1402245292
140	0.1400156866
141	0.1396841467
142	0.1395111237
143	0.1393228882
144	0.1390620512
145	0.1388659723
146	0.1386739046
147	0.1385159276
148	0.1382727478
149	0.1380323785
150	0.1378269917
151	0.1376538177
152	0.1374737029
153	0.1371812709
154	0.1369940513
155	0.1368412201
156	0.1366432244
157	0.1363980464
158	0.1361488931
159	0.1359906173
160	0.1358134367
161	0.1357199689
162	0.1354703677
163	0.1353048758
164	0.135120737
165	0.1348992144
166	0.134636503
167	0.1344479595
168	0.1342086624
169	0.1340429287
170	0.1338385685
171	0.1336162417
172	0.1334208741
173	0.1332073398
174	0.1330519939
175	0.1329529094
176	0.1328112878
177	0.1326421181
178	0.1325269376
179	0.1323276256
180	0.1322721756
181	0.1321463125
182	0.1320636334
183	0.1318918318
184	0.1317059935
185	0.1315645222
186	0.1314303519
187	0.1312500059
188	0.1310587254
189	0.1308971687
190	0.1307782861
191	0.1306993098
192	0.1305338419
193	0.1303416616
194	0.1301118441
195	0.1299830674
196	0.1297877426
197	0.1296518879
198	0.129484227
199	0.129434566
200	0.1292323451
201	0.1290993617
202	0.1289084613
203	0.1287712245
204	0.128570377
205	0.1284094005
206	0.1282433499
207	0.1281416654
208	0.1279551789
209	0.1278356299
210	0.1276707597
211	0.1275211453
212	0.1273680114
213	0.1272844522
214	0.1271828123
215	0.1271107431
216	0.1270115348
217	0.1268618304
218	0.1267191999
219	0.1266196841
220	0.1264899394
221	0.1263628331
222	0.126311957
223	0.1261810854
224	0.1260250356
225	0.1259220653
226	0.1257774096
227	0.1255862704
228	0.1254966981
229	0.125289426
230	0.1251414973
231	0.125031982
232	0.1249137436
233	0.1247954267
234	0.1246658754
235	0.1245599247
236	0.1244391102
237	0.124330395
238	0.1242167718
239	0.1241406608
240	0.1239081607
241	0.1237961831
242	0.1237114225
243	0.1236341033
244	0.123432121
245	0.1233790338
246	0.1232294501
247	0.1231447366
248	0.1229776024
249	0.1228870261
250	0.1227661841
251	0.1226551879
252	0.1225457052
253	0.122388516
254	0.1222773705
255	0.1221372751
256	0.1220309991
257	0.1219306822
258	0.1217629374
259	0.1215941667
260	0.1214820179
261	0.1213349871
262	0.1212010609
263	0.1210825293
264	0.1209569728
265	0.120828876
266	0.1207527863
267	0.1205846608
268	0.1204291428
269	0.1203158881
270	0.1202011023
271	0.1201071149
272	0.1200577958
273	0.1199439266
274	0.119889356
275	0.1197715844
276	0.1196265675
277	0.1195207011
278	0.1194010968
279	0.1193372758
